epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9809,0,53.1129,0,0,0,0,0,0,40.0247,0,2.858e-05,2.858e-05,2.858e-05
2,26.5717,0,52.5468,0,0,0,0,0,0,40.1776,0,7.00353e-05,7.00353e-05,7.00353e-05
3,38.3681,0,51.7163,0,0,0,0,0,0,40.2497,0,0.000109793,0.000109793,0.000109793
4,50.2657,0,51.1166,0,0,0,0,0,0,40.3054,0,0.000147853,0.000147853,0.000147853
5,61.4639,0,50.5186,0,0,0,0,0,0,40.2999,0,0.000184215,0.000184215,0.000184215
6,72.649,0,49.9189,0,0,0,0,0,0,40.2246,0,0.00021888,0.00021888,0.00021888
7,83.5267,0,48.7824,0,0,0,0,0,0,40.1715,0,0.000251847,0.000251847,0.000251847
8,94.5318,0,47.9842,0,0,0,0,0,0,40.1219,0,0.000283116,0.000283116,0.000283116
9,105.797,0,46.9933,0,0,0,0,0,0,40.1056,0,0.000312688,0.000312688,0.000312688
10,116.624,0,46.2672,0,0,0,0,0,0,40.2482,0,0.000340562,0.000340562,0.000340562
11,127.523,0,45.2484,0,0,0,0,0,0,40.2243,0,0.000366739,0.000366739,0.000366739
12,138.877,0,44.0371,0,0,0,0,0,0,39.6503,0,0.000391217,0.000391217,0.000391217
13,149.566,0,43.5084,0,0,0,0,0,0,38.6282,0,0.000413998,0.000413998,0.000413998
14,160.421,0,42.8841,0,0,0,0,0,0,37.4508,0,0.000435082,0.000435082,0.000435082
15,171.221,0,42.1047,0,0,0,0,0,0,37.4508,0,0.000454468,0.000454468,0.000454468
16,181.951,0,41.5593,0,0,0,0,0,0,35.9749,0,0.000472156,0.000472156,0.000472156
17,192.702,0,40.9349,0,0,0,0,0,0,33.6815,0,0.000488146,0.000488146,0.000488146
18,203.295,0,40.4219,0,0,0,0,0,0,33.6815,0,0.000502439,0.000502439,0.000502439
19,213.978,0,39.9754,0,0,0,0,0,0,31.5146,0,0.000515034,0.000515034,0.000515034
20,224.762,0,39.6548,0,0,0,0,0,0,29.4689,0,0.000525932,0.000525932,0.000525932
21,235.331,0,39.4518,0,0,0,0,0,0,29.4689,0,0.000535132,0.000535132,0.000535132
22,245.931,0,39.1859,0,0,0,0,0,0,28.1663,0,0.000542634,0.000542634,0.000542634
23,257.099,0,39.2951,0,0,0,0,0,0,28.1663,0,0.000548439,0.000548439,0.000548439
24,267.908,0,38.9451,0,0,0,0,0,0,27.9137,0,0.000552546,0.000552546,0.000552546
25,278.475,0,38.6732,0,0,0,0,0,0,27.9137,0,0.000554955,0.000554955,0.000554955
26,289.311,0,38.7421,0,0,0,0,0,0,27.5176,0,0.000555667,0.000555667,0.000555667
27,299.884,0,38.2702,0,0,0,0,0,0,27.5176,0,0.000554681,0.000554681,0.000554681
28,310.6,0,38.2214,0,0,0,0,0,0,26.6031,0,0.000551997,0.000551997,0.000551997
29,321.353,0,37.616,0,0,0,0,0,0,26.6031,0,0.000547616,0.000547616,0.000547616
30,331.971,0,37.9687,0,0,0,0,0,0,26.6031,0,0.000541537,0.000541537,0.000541537
31,342.748,0,37.4237,0,0,0,0,0,0,26.637,0,0.00053376,0.00053376,0.00053376
32,353.356,0,37.393,0,0,0,0,0,0,26.637,0,0.000524286,0.000524286,0.000524286
33,364.154,0,37.4716,0,0,0,0,0,0,24.9398,0,0.000513114,0.000513114,0.000513114
34,374.977,0,36.9288,0,0,0,0,0,0,24.9398,0,0.000495291,0.000495291,0.000495291
35,385.583,0,37.0874,0,0,0,0,0,0,24.9398,0,0.000466997,0.000466997,0.000466997
36,396.321,0,37.383,0,0,0,0,0,0,24.6329,0,0.000438703,0.000438703,0.000438703
37,407.087,0,36.7569,0,0,0,0,0,0,24.6329,0,0.000410409,0.000410409,0.000410409
38,417.706,0,36.7305,0,0,0,0,0,0,24.6329,0,0.000382115,0.000382115,0.000382115
39,428.542,0,36.4723,0,0,0,0,0,0,24.7541,0,0.00035382,0.00035382,0.00035382
40,439.267,0,36.4039,0,0,0,0,0,0,24.7541,0,0.000325526,0.000325526,0.000325526
41,450.372,0,36.5317,0,0,0,0,0,0,25.1029,0,0.000297232,0.000297232,0.000297232
42,462.503,0,36.3136,0,0,0,0,0,0,25.1029,0,0.000268938,0.000268938,0.000268938
43,481.068,0,36.3175,0,0,0,0,0,0,25.1029,0,0.000240644,0.000240644,0.000240644
44,499.738,0,36.1861,0,0,0,0,0,0,25.6684,0,0.000212349,0.000212349,0.000212349
45,517.159,0,36,0,0,0,0,0,0,25.6684,0,0.000184055,0.000184055,0.000184055
46,532.489,0,36.1295,0,0,0,0,0,0,25.6684,0,0.000155761,0.000155761,0.000155761
47,543.961,0,35.9064,0,0,0,0,0,0,26.3069,0,0.000127467,0.000127467,0.000127467
48,555.455,0,35.9235,0,0,0,0,0,0,26.3069,0,9.91726e-05,9.91726e-05,9.91726e-05
49,567.359,0,35.8959,0,0,0,0,0,0,26.8459,0,7.08784e-05,7.08784e-05,7.08784e-05
50,580.424,0,35.8077,0,0,0,0,0,0,26.8459,0,4.25842e-05,4.25842e-05,4.25842e-05
